keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
SIMPLE,File conforms to the FITS standard,Structural,boolean,Data conform to FITS standard,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Chandra; Pan-STARRS,True,"This keyword indicates whether the FITS file strictly adheres to the basic FITS standard. A value of 'T' (True) means the file structure is standard, making it compatible with FITS-compliant software. It's a foundational check to ensure proper file parsing.",10,"This keyword is purely structural, ensuring file readability by software, with no direct information value for end-users.",
BITPIX,"Number of bits per data pixel. Allowed values: 8, 16, 32, 64 (integer), -32 (float), -64 (double).",Structural,integer,bits per data value,PRIMARY; SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Pan-STARRS,True,"This keyword specifies the number of bits used to represent each individual pixel's data value (e.g., 16-bit integer, 32-bit floating-point). It defines the fundamental data type and precision of the raw pixel values within the image or data array. Understanding BITPIX can help users interpret the range and fidelity of the stored data.",45,"While not directly interacted with, knowing the underlying data type can be useful for advanced users interpreting data precision or performing specific analyses.",
NAXIS,Number of data array dimensions,Structural,integer,Number of axes,PRIMARY; SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,True,"This keyword indicates the number of dimensions in the data array, such as a 2D image (NAXIS=2) or a 3D data cube (NAXIS=3). It tells the user if they are looking at a simple image, a time series, or a more complex dataset like a spectral cube. This directly impacts how the data is visualized and explored.",75,"This keyword is important as it defines the fundamental dimensionality of the dataset, directly affecting how an app would display and allow interaction with the data.",
NAXIS1,Length of data axis 1 (columns),Structural,integer,Size of the axis,PRIMARY; SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,True,"This keyword specifies the size of the first dimension of the data array, which typically represents the number of columns in an image. For a 2D image, this tells you the width of the image in pixels. It's essential for understanding the spatial extent of the data.",85,"Users frequently need to know the width of an image, making this keyword highly relevant for display and spatial context.",
NAXIS2,Length of data axis 2 (rows),Structural,integer,Size of the axis,PRIMARY; SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Spitzer; Pan-STARRS,True,"This keyword specifies the size of the second dimension of the data array, which typically represents the number of rows in an image. For a 2D image, this tells you the height of the image in pixels. It's essential for understanding the spatial extent of the data.",85,"Users frequently need to know the height of an image, making this keyword highly relevant for display and spatial context.",
NAXIS3,Length of data axis 3 (planes/channels),Structural,integer,Size of the axis,PRIMARY; SCI; GROUPDQ; REFOUT,FITS Standard; JWST; HST,False,"This keyword specifies the length or size of the third dimension of the data array. For astronomical data, this often represents distinct elements like different spectral channels, multiple filters, or a time series of images, indicating that the data is a 3D cube rather than a simple 2D image.",75,"It is commonly useful for users to understand the dimensionality of data cubes, such as the number of spectral channels or filter planes, for analysis and visualization.",
NAXIS4,Length of data axis 4,Structural,integer,Size of the axis,PRIMARY; SCI; GROUPDQ; REFOUT,FITS Standard; JWST,False,"This keyword indicates the size of the fourth dimension of the data array. While less common than 2D or 3D data, a fourth axis can represent additional data aspects like polarization states, dither positions, or multiple data products within a single file.",55,"While less common than 3D data, knowing the extent of a fourth axis is useful for advanced users working with complex, higher-dimensional datasets.",
EXTEND,File may contain standard extensions,Structural,boolean,file may contain standard extensions,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; GALEX,False,"This boolean keyword, found in the primary header, indicates whether the FITS file might contain standard extensions beyond the primary data array. These extensions are separate HDUs (Header Data Units) that can hold additional data like error maps, data quality flags, or tabular information.",10,"This structural keyword informs software about the potential for extensions, but users are more interested in the content of specific extensions rather than this general flag.",
NEXTEND,Number of file extensions,Structural,integer,Number of file extensions,PRIMARY,FITS Standard; JWST; HST,False,"This keyword specifies the total number of standard FITS extensions present in the file. It provides a count of how many additional data blocks (which can be images, tables, etc.) are included alongside the primary data.",25,"While providing a count of extensions, this keyword is primarily for software parsing, and users are typically more interested in the specific types and content of individual extensions.",
PCOUNT,Number of bytes of supplemental data (parameter count),Structural,integer,number of parameter bytes following data table,SCI; ERR; DQ; GROUPDQ; REFOUT,FITS Standard; JWST; HST,True,"This keyword is used in FITS binary tables to specify the number of bytes used for supplemental data, particularly for variable-length array (VLA) columns. It points to the location where the actual variable-length data elements are stored within the data block.",5,"This keyword is purely internal and structural, used by FITS readers to correctly parse variable-length array data within tables, with no direct relevance for end-users.",
